Source,Target,Weight,edge_type,edge_multiplicity
1,2,1,question_to_answer,1
2,3,1,answer_to_reason,1
1,4,1,question_to_answer,1
4,5,1,answer_to_reason,1
1,6,1,question_to_answer,1
6,7,1,answer_to_reason,1
1,8,1,question_to_answer,1
8,9,1,answer_to_reason,1
10,11,1,question_to_answer,1
11,12,1,answer_to_reason,1
10,13,1,question_to_answer,1
13,14,1,answer_to_reason,1
10,15,1,question_to_answer,1
15,15,1,answer_to_reason,1
10,16,1,question_to_answer,1
16,16,1,answer_to_reason,1
10,17,1,question_to_answer,1
17,17,1,answer_to_reason,1
10,18,1,question_to_answer,1
18,18,1,answer_to_reason,1
10,19,1,question_to_answer,1
19,20,1,answer_to_reason,1
10,21,1,question_to_answer,1
21,22,1,answer_to_reason,1
10,23,1,question_to_answer,1
23,24,1,answer_to_reason,1
10,25,1,question_to_answer,1
25,26,1,answer_to_reason,1
10,27,1,question_to_answer,1
27,28,1,answer_to_reason,1
10,29,1,question_to_answer,1
29,30,1,answer_to_reason,1
10,31,1,question_to_answer,1
31,32,1,answer_to_reason,1
33,34,3,question_to_answer,3
34,35,1,answer_to_reason,1
33,36,4,question_to_answer,4
36,37,1,answer_to_reason,1
36,38,1,answer_to_reason,1
34,39,1,answer_to_reason,1
34,40,1,answer_to_reason,1
33,41,2,question_to_answer,2
41,42,1,answer_to_reason,1
41,43,1,answer_to_reason,1
33,44,1,question_to_answer,1
44,45,1,answer_to_reason,1
36,46,1,answer_to_reason,1
36,47,1,answer_to_reason,1
48,49,4,question_to_answer,4
49,50,1,answer_to_reason,1
49,51,2,answer_to_reason,2
48,52,2,question_to_answer,2
52,53,1,answer_to_reason,1
52,54,1,answer_to_reason,1
48,55,2,question_to_answer,2
55,56,1,answer_to_reason,1
55,57,1,answer_to_reason,1
49,58,1,answer_to_reason,1
48,59,2,question_to_answer,2
59,53,1,answer_to_reason,1
59,54,1,answer_to_reason,1
60,61,4,question_to_answer,4
61,62,1,answer_to_reason,1
60,63,2,question_to_answer,2
63,64,1,answer_to_reason,1
63,65,1,answer_to_reason,1
60,66,2,question_to_answer,2
66,67,1,answer_to_reason,1
66,68,1,answer_to_reason,1
61,69,1,answer_to_reason,1
61,70,1,answer_to_reason,1
61,71,1,answer_to_reason,1
72,73,1,question_to_answer,1
73,74,1,answer_to_reason,1
75,76,1,question_to_answer,1
76,77,1,answer_to_reason,1
78,79,1,question_to_answer,1
79,80,1,answer_to_reason,1
81,82,1,question_to_answer,1
82,83,1,answer_to_reason,1
84,85,1,question_to_answer,1
85,86,1,answer_to_reason,1
2,11,1,same_transcript_answer,1
2,13,1,same_transcript_answer,1
2,34,1,same_transcript_answer,1
2,49,1,same_transcript_answer,1
2,61,1,same_transcript_answer,1
11,13,1,same_transcript_answer,1
11,34,1,same_transcript_answer,1
11,49,1,same_transcript_answer,1
11,61,1,same_transcript_answer,1
13,34,1,same_transcript_answer,1
13,49,1,same_transcript_answer,1
13,61,1,same_transcript_answer,1
34,49,1,same_transcript_answer,1
34,61,1,same_transcript_answer,1
49,61,2,same_transcript_answer,2
4,15,1,same_transcript_answer,1
4,16,1,same_transcript_answer,1
4,17,1,same_transcript_answer,1
4,36,1,same_transcript_answer,1
4,52,1,same_transcript_answer,1
4,63,1,same_transcript_answer,1
15,16,1,same_transcript_answer,1
15,17,1,same_transcript_answer,1
15,36,1,same_transcript_answer,1
15,52,1,same_transcript_answer,1
15,63,1,same_transcript_answer,1
16,17,1,same_transcript_answer,1
16,36,1,same_transcript_answer,1
16,52,1,same_transcript_answer,1
16,63,1,same_transcript_answer,1
17,36,1,same_transcript_answer,1
17,52,1,same_transcript_answer,1
17,63,1,same_transcript_answer,1
36,52,1,same_transcript_answer,1
36,63,1,same_transcript_answer,1
52,63,1,same_transcript_answer,1
6,18,1,same_transcript_answer,1
6,19,1,same_transcript_answer,1
6,21,1,same_transcript_answer,1
6,34,1,same_transcript_answer,1
6,55,1,same_transcript_answer,1
6,66,1,same_transcript_answer,1
18,19,1,same_transcript_answer,1
18,21,1,same_transcript_answer,1
18,34,1,same_transcript_answer,1
18,55,1,same_transcript_answer,1
18,66,1,same_transcript_answer,1
19,21,1,same_transcript_answer,1
19,34,1,same_transcript_answer,1
19,55,1,same_transcript_answer,1
19,66,1,same_transcript_answer,1
21,34,1,same_transcript_answer,1
21,55,1,same_transcript_answer,1
21,66,1,same_transcript_answer,1
34,55,1,same_transcript_answer,1
34,66,1,same_transcript_answer,1
55,66,1,same_transcript_answer,1
8,23,1,same_transcript_answer,1
8,25,1,same_transcript_answer,1
8,27,1,same_transcript_answer,1
8,29,1,same_transcript_answer,1
8,31,1,same_transcript_answer,1
8,41,1,same_transcript_answer,1
8,44,1,same_transcript_answer,1
8,49,1,same_transcript_answer,1
8,61,1,same_transcript_answer,1
23,25,1,same_transcript_answer,1
23,27,1,same_transcript_answer,1
23,29,1,same_transcript_answer,1
23,31,1,same_transcript_answer,1
23,41,1,same_transcript_answer,1
23,44,1,same_transcript_answer,1
23,49,1,same_transcript_answer,1
23,61,1,same_transcript_answer,1
25,27,1,same_transcript_answer,1
25,29,1,same_transcript_answer,1
25,31,1,same_transcript_answer,1
25,41,1,same_transcript_answer,1
25,44,1,same_transcript_answer,1
25,49,1,same_transcript_answer,1
25,61,1,same_transcript_answer,1
27,29,1,same_transcript_answer,1
27,31,1,same_transcript_answer,1
27,41,1,same_transcript_answer,1
27,44,1,same_transcript_answer,1
27,49,1,same_transcript_answer,1
27,61,1,same_transcript_answer,1
29,31,1,same_transcript_answer,1
29,41,1,same_transcript_answer,1
29,44,1,same_transcript_answer,1
29,49,1,same_transcript_answer,1
29,61,1,same_transcript_answer,1
31,41,1,same_transcript_answer,1
31,44,1,same_transcript_answer,1
31,49,1,same_transcript_answer,1
31,61,1,same_transcript_answer,1
41,44,1,same_transcript_answer,1
41,49,1,same_transcript_answer,1
41,61,1,same_transcript_answer,1
44,49,1,same_transcript_answer,1
44,61,1,same_transcript_answer,1
36,59,1,same_transcript_answer,1
36,73,1,same_transcript_answer,1
36,76,1,same_transcript_answer,1
36,79,1,same_transcript_answer,1
36,82,1,same_transcript_answer,1
36,85,1,same_transcript_answer,1
59,73,1,same_transcript_answer,1
59,76,1,same_transcript_answer,1
59,79,1,same_transcript_answer,1
59,82,1,same_transcript_answer,1
59,85,1,same_transcript_answer,1
73,76,1,same_transcript_answer,1
73,79,1,same_transcript_answer,1
73,82,1,same_transcript_answer,1
73,85,1,same_transcript_answer,1
76,79,1,same_transcript_answer,1
